Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Yo Perreo Sola,YHLQMDLG,Bad Bunny,2020-02-29,QM4TX2030934,"1,036",47.1,745086450.0,"95,154","29,388,631",67.0,818482247.0,"8,068,018","1,515,908",126702212.0,"1,133,216,780","291,194,930",128.0,"24,957",38,35.0,"372,403",53.0,"81,678,830","65,483",,"1,822,325",,0
ETA,NewJeans 2nd EP 'Get Up',NewJeans,2023-07-21,USA2P2330071,"1,038",47.1,234215735.0,"20,419","7,910,753",74.0,189170317.0,"1,734,442","98,128",38199952.0,"297,802,502","537,474,239",24.0,"2,619",21,2.0,"18,940",4.0,"696,801",973,"1,352,255","248,138",,0
Jordan,Jordan,Ryan Castro,2021-04-30,FR96X2111994,"1,037",47.1,535847791.0,"57,454","22,561,916",73.0,602969531.0,"3,455,570","2,054,500",440899222.0,"5,134,093,462","126,173,423",23.0,"16,697",394,9.0,"55,353",29.0,"1,005,285","1,583",,"1,079,602",,0
Take You Dancing,Take You Dancing,Jason Derulo,2020-07-22,USAT22004479,"1,039",47.1,716319941.0,"98,905","32,882,211",65.0,460154791.0,"3,442,896","522,107",149900995.0,"1,506,051,452","176,273,148",145.0,"392,495",115,91.0,"3,010,119",31.0,"111,888,753","21,214",,,,0
BUBALU,BUBALU,Feid,2023-09-22,USUM72312321,"1,043",47.0,152487756.0,"26,763","34,486,818",,91266986.0,"531,703","22,360",672615.0,"7,708,938","140,740,472",33.0,"45,802",34,44.0,"11,519,450",27.0,"1,037,674",651,,"783,303",,0
Be Alright,Be Alright,Dean Lewis,2018-06-29,AUUM71800255,"1,042",47.0,1749353402.0,"182,732","81,424,354",72.0,244698483.0,"2,156,754","191,718",48497239.0,"379,547,638","2,742",148.0,"153,400",53,47.0,"238,867",26.0,"187,475,548","145,064","38,670,021","12,744,176",,0
Jalebi Baby,Jalebi Baby,Tesher,2020-11-13,QZNWQ2070741,"1,041",47.0,164137928.0,"47,324","4,827,888",58.0,569438267.0,"9,098,356","3,568,275",609856643.0,"8,443,743,856","8,067,537",43.0,"20,053",26,3.0,"1,874",3.0,"1,536,646","4,239","3,441,396","6,489,242",,0
Endless Summer,Endless Summer,Alan Walker,2023-07-13,NOG842305010,"1,040",47.0,28340672.0,"7,147","9,900,066",55.0,6667293.0,"144,046","2,207,992",16323044.0,"395,590,915","13,897,403",8.0,"16,735",,10.0,"108,472",8.0,"297,266",120,,"150,561",,0
Belly Dancer,Belly Dancer,Imanbek,2022-02-18,NLZ542200165,"1,047",46.9,547114702.0,"110,008","103,107,258",75.0,152539885.0,"1,025,216","81,866",45025550.0,"367,187,204","675,951,120",85.0,"125,928",,73.0,"1,992,797",42.0,,,,"3,826,486",,0
Who Told You (feat. Drake),Who Told You (feat. Drake) - Single,J Hus,2023-06-08,GBARL2300716,"1,046",46.9,142574143.0,"72,496","16,207,605",62.0,16368063.0,"168,658","80,897",28314723.0,"264,112,132","511,758",90.0,"25,565",45,36.0,"503,882",49.0,"434,491",,,"845,300",,0
